ID_KEL	Nama_provinsi	nama_kota	nama_kecamatan	nama_kelurahan	POSITIF	Dirawat	Sembuh	Meninggal	Self Isolation	Keterangan
				TOTAL	1163582	5924	1100117	14585	42956	
3172051003	DKI JAKARTA	JAKARTA UTARA	PADEMANGAN	ANCOL	2627	13	2496	30	88	
3173041007	DKI JAKARTA	JAKARTA BARAT	TAMBORA	ANGKE	2599	13	2479	35	72	
3175041005	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	BALE KAMBANG	2908	14	2710	35	149	
3175031003	DKI JAKARTA	JAKARTA TIMUR	JATINEGARA	BALI MESTER	1223	6	1153	20	44	
3175101006	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	BAMBU APUS	3882	11	3661	31	179	
3174031002	DKI JAKARTA	JAKARTA SELATAN	MAMPANG PRAPATAN	BANGKA	2774	5	2620	29	120	
3175051002	DKI JAKARTA	JAKARTA TIMUR	PASAR REBO	BARU	3455	13	3233	42	167	
3175041004	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	BATU AMPAR	5249	26	4897	80	246	
3171071002	DKI JAKARTA	JAKARTA PUSAT	TANAH ABANG	BENDUNGAN HILIR	3118	17	2924	43	134	
3175031002	DKI JAKARTA	JAKARTA TIMUR	JATINEGARA	BIDARA CINA	4184	16	3926	67	175	
3174101002	DKI JAKARTA	JAKARTA SELATAN	PESANGGRAHAN	BINTARO	5488	29	5096	88	275	
3174011005	DKI JAKARTA	JAKARTA SELATAN	TEBET	BUKIT DURI	3208	22	3047	37	102	
3171041006	DKI JAKARTA	JAKARTA PUSAT	SENEN	BUNGUR	1933	15	1826	27	65	
3175061007	DKI JAKARTA	JAKARTA TIMUR	CAKUNG	CAKUNG BARAT	2749	11	2629	28	81	
3175061004	DKI JAKARTA	JAKARTA TIMUR	CAKUNG	CAKUNG TIMUR	3911	20	3662	56	173	
3175041007	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	CAWANG	4125	22	3920	43	140	
3175101008	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	CEGER	2637	11	2505	36	85	
3171031006	DKI JAKARTA	JAKARTA PUSAT	KEMAYORAN	CEMPAKA BARU	4021	21	3781	68	151	
3171051002	DKI JAKARTA	JAKARTA PUSAT	CEMPAKA PUTIH	CEMPAKA PUTIH BARAT	5440	23	5160	84	173	
3171051001	DKI JAKARTA	JAKARTA PUSAT	CEMPAKA PUTIH	CEMPAKA PUTIH TIMUR	4255	33	3985	59	178	
3173011001	DKI JAKARTA	JAKARTA BARAT	CENGKARENG	CENGKARENG BARAT	7845	41	7335	114	355	
3173011006	DKI JAKARTA	JAKARTA BARAT	CENGKARENG	CENGKARENG TIMUR	8145	51	7743	113	238	
3175091002	DKI JAKARTA	JAKARTA TIMUR	CIRACAS	CIBUBUR	7730	45	7264	81	340	
3171011002	DKI JAKARTA	JAKARTA PUSAT	GAMBIR	CIDENG	2400	9	2292	34	65	
3174091003	DKI JAKARTA	JAKARTA SELATAN	JAGAKARSA	CIGANJUR	5252	13	4944	57	238	
3175051003	DKI JAKARTA	JAKARTA TIMUR	PASAR REBO	CIJANTUNG	4999	18	4642	88	251	
3171061003	DKI JAKARTA	JAKARTA PUSAT	MENTENG	CIKINI	1071	10	999	16	46	
3174081006	DKI JAKARTA	JAKARTA SELATAN	PANCORAN	CIKOKO	1705	13	1590	15	87	
3174061001	DKI JAKARTA	JAKARTA SELATAN	CILANDAK	CILANDAK BARAT	7725	45	7217	75	388	
3174041003	DKI JAKARTA	JAKARTA SELATAN	PASAR MINGGU	CILANDAK TIMUR	3798	28	3599	32	139	
3175101002	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	CILANGKAP	4040	14	3851	37	138	
3175041006	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	CILILITAN	4577	19	4306	73	179	
