ID_KEL	Nama_provinsi	nama_kota	nama_kecamatan	nama_kelurahan	POSITIF	Dirawat	Sembuh	Meninggal	Self Isolation	Keterangan																						
				TOTAL	1265264	591	1241429	15313	7931																							
3172051003	DKI JAKARTA	JAKARTA UTARA	PADEMANGAN	ANCOL	2817	3	2772	30	12																							
3173041007	DKI JAKARTA	JAKARTA BARAT	TAMBORA	ANGKE	2737	2	2693	35	7																							
3175041005	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	BALE KAMBANG	3109	2	3063	36	8																							
3175031003	DKI JAKARTA	JAKARTA TIMUR	JATINEGARA	BALI MESTER	1291	0	1261	20	10																							
3175101006	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	BAMBU APUS	4115	0	4069	36	10																							
3174031002	DKI JAKARTA	JAKARTA SELATAN	MAMPANG PRAPATAN	BANGKA	2995	1	2933	29	32																							
3175051002	DKI JAKARTA	JAKARTA TIMUR	PASAR REBO	BARU	3599	0	3553	43	3																							
3175041004	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	BATU AMPAR	5605	1	5503	83	18																							
3171071002	DKI JAKARTA	JAKARTA PUSAT	TANAH ABANG	BENDUNGAN HILIR	3341	0	3268	47	26																							
3175031002	DKI JAKARTA	JAKARTA TIMUR	JATINEGARA	BIDARA CINA	4352	0	4263	69	20																							
3174101002	DKI JAKARTA	JAKARTA SELATAN	PESANGGRAHAN	BINTARO	6131	2	5956	93	80																							
3174011005	DKI JAKARTA	JAKARTA SELATAN	TEBET	BUKIT DURI	3379	1	3333	39	6																							
3171041006	DKI JAKARTA	JAKARTA PUSAT	SENEN	BUNGUR	2048	2	2013	28	5																							
3175061007	DKI JAKARTA	JAKARTA TIMUR	CAKUNG	CAKUNG BARAT	2817	1	2786	29	1																							
3175061004	DKI JAKARTA	JAKARTA TIMUR	CAKUNG	CAKUNG TIMUR	4111	1	4034	58	18																							
3175041007	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	CAWANG	4320	1	4260	43	16																							
3175101008	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	CEGER	2826	0	2770	38	18																							
3171031006	DKI JAKARTA	JAKARTA PUSAT	KEMAYORAN	CEMPAKA BARU	4173	1	4097	68	7																							
3171051002	DKI JAKARTA	JAKARTA PUSAT	CEMPAKA PUTIH	CEMPAKA PUTIH BARAT	5654	4	5543	86	21																							
3171051001	DKI JAKARTA	JAKARTA PUSAT	CEMPAKA PUTIH	CEMPAKA PUTIH TIMUR	4590	1	4486	63	40																							
3173011001	DKI JAKARTA	JAKARTA BARAT	CENGKARENG	CENGKARENG BARAT	8251	2	8085	120	44																							
3173011006	DKI JAKARTA	JAKARTA BARAT	CENGKARENG	CENGKARENG TIMUR	8574	4	8406	119	45																							
3175091002	DKI JAKARTA	JAKARTA TIMUR	CIRACAS	CIBUBUR	8230	4	8101	87	38																							
3171011002	DKI JAKARTA	JAKARTA PUSAT	GAMBIR	CIDENG	2579	1	2525	37	16																							
3174091003	DKI JAKARTA	JAKARTA SELATAN	JAGAKARSA	CIGANJUR	5648	2	5554	60	32																							
3175051003	DKI JAKARTA	JAKARTA TIMUR	PASAR REBO	CIJANTUNG	5223	0	5117	90	16																							
3171061003	DKI JAKARTA	JAKARTA PUSAT	MENTENG	CIKINI	1147	1	1123	16	7																							
3174081006	DKI JAKARTA	JAKARTA SELATAN	PANCORAN	CIKOKO	1815	0	1792	15	8																							
3174061001	DKI JAKARTA	JAKARTA SELATAN	CILANDAK	CILANDAK BARAT	8664	5	8491	78	90																							
3174041003	DKI JAKARTA	JAKARTA SELATAN	PASAR MINGGU	CILANDAK TIMUR	4058	0	4005	33	20																							
3175101002	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	CILANGKAP	4205	1	4159	39	6																							
3175041006	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	CILILITAN	4811	1	4722	76	12																							
3172041001	DKI JAKARTA	JAKARTA UTARA	CILINCING	CILINCING	3402	0	3342	59	1																							
3175101001	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	CIPAYUNG	4890	2	4828	40	20																							
3174091006	DKI JAKARTA	JAKARTA SELATAN	JAGAKARSA	CIPEDAK	4767	2	4688	57	20																							
3174061005	DKI JAKARTA	JAKARTA SELATAN	CILANDAK	CIPETE SELATAN	3865	3	3750	51	61																							
3174071010	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	CIPETE UTARA	4035	2	3949	56	28																							
3175021003	DKI JAKARTA	JAKARTA TIMUR	PULO GADUNG	CIPINANG	5187	4	5068	88	27																							
3175031007	DKI JAKARTA	JAKARTA TIMUR	JATINEGARA	CIPINANG BESAR SELATAN	3853	3	3773	46	31																							
3175031008	DKI JAKARTA	JAKARTA TIMUR	JATINEGARA	CIPINANG BESAR UTARA	3753	0	3682	65	6																							
