ID_KEL	Nama_provinsi	nama_kota	nama_kecamatan	nama_kelurahan	POSITIF	Dirawat	Sembuh	Meninggal	Self Isolation	Keterangan																						
				TOTAL	1250200	210	1234021	15300	669																							
3172051003	DKI JAKARTA	JAKARTA UTARA	PADEMANGAN	ANCOL	2771	2	2738	30	1																							
3173041007	DKI JAKARTA	JAKARTA BARAT	TAMBORA	ANGKE	2715	0	2679	35	1																							
3175041005	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	BALE KAMBANG	3090	0	3052	36	2																							
3175031003	DKI JAKARTA	JAKARTA TIMUR	JATINEGARA	BALI MESTER	1272	0	1250	20	2																							
3175101006	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	BAMBU APUS	4087	0	4050	36	1																							
3174031002	DKI JAKARTA	JAKARTA SELATAN	MAMPANG PRAPATAN	BANGKA	2945	1	2910	29	5																							
3175051002	DKI JAKARTA	JAKARTA TIMUR	PASAR REBO	BARU	3590	0	3547	43	0																							
3175041004	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	BATU AMPAR	5579	0	5494	83	2																							
3171071002	DKI JAKARTA	JAKARTA PUSAT	TANAH ABANG	BENDUNGAN HILIR	3290	1	3242	47	0																							
3175031002	DKI JAKARTA	JAKARTA TIMUR	JATINEGARA	BIDARA CINA	4313	0	4244	69	0																							
3174101002	DKI JAKARTA	JAKARTA SELATAN	PESANGGRAHAN	BINTARO	6001	0	5906	93	2																							
3174011005	DKI JAKARTA	JAKARTA SELATAN	TEBET	BUKIT DURI	3365	0	3326	39	0																							
3171041006	DKI JAKARTA	JAKARTA PUSAT	SENEN	BUNGUR	2030	0	2001	28	1																							
3175061007	DKI JAKARTA	JAKARTA TIMUR	CAKUNG	CAKUNG BARAT	2813	0	2784	29	0																							
3175061004	DKI JAKARTA	JAKARTA TIMUR	CAKUNG	CAKUNG TIMUR	4075	2	4014	58	1																							
3175041007	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	CAWANG	4281	1	4236	43	1																							
3175101008	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	CEGER	2800	0	2761	38	1																							
3171031006	DKI JAKARTA	JAKARTA PUSAT	KEMAYORAN	CEMPAKA BARU	4153	2	4083	68	0																							
3171051002	DKI JAKARTA	JAKARTA PUSAT	CEMPAKA PUTIH	CEMPAKA PUTIH BARAT	5620	0	5533	86	1																							
3171051001	DKI JAKARTA	JAKARTA PUSAT	CEMPAKA PUTIH	CEMPAKA PUTIH TIMUR	4517	4	4447	63	3																							
3173011001	DKI JAKARTA	JAKARTA BARAT	CENGKARENG	CENGKARENG BARAT	8170	0	8049	120	1																							
3173011006	DKI JAKARTA	JAKARTA BARAT	CENGKARENG	CENGKARENG TIMUR	8497	1	8375	119	2																							
3175091002	DKI JAKARTA	JAKARTA TIMUR	CIRACAS	CIBUBUR	8166	1	8075	87	3																							
3171011002	DKI JAKARTA	JAKARTA PUSAT	GAMBIR	CIDENG	2545	1	2503	37	4																							
3174091003	DKI JAKARTA	JAKARTA SELATAN	JAGAKARSA	CIGANJUR	5581	1	5516	60	4																							
3175051003	DKI JAKARTA	JAKARTA TIMUR	PASAR REBO	CIJANTUNG	5198	1	5107	90	0																							
3171061003	DKI JAKARTA	JAKARTA PUSAT	MENTENG	CIKINI	1132	0	1116	16	0																							
3174081006	DKI JAKARTA	JAKARTA SELATAN	PANCORAN	CIKOKO	1802	0	1786	15	1																							
3174061001	DKI JAKARTA	JAKARTA SELATAN	CILANDAK	CILANDAK BARAT	8475	2	8387	78	8																							
3174041003	DKI JAKARTA	JAKARTA SELATAN	PASAR MINGGU	CILANDAK TIMUR	4023	0	3988	33	2																							
3175101002	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	CILANGKAP	4194	0	4155	39	0																							
3175041006	DKI JAKARTA	JAKARTA TIMUR	KRAMAT JATI	CILILITAN	4795	0	4719	76	0																							
3172041001	DKI JAKARTA	JAKARTA UTARA	CILINCING	CILINCING	3400	0	3340	59	1																							
3175101001	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	CIPAYUNG	4849	0	4807	40	2																							
3174091006	DKI JAKARTA	JAKARTA SELATAN	JAGAKARSA	CIPEDAK	4727	0	4668	57	2																							
3174061005	DKI JAKARTA	JAKARTA SELATAN	CILANDAK	CIPETE SELATAN	3768	0	3710	51	7																							
